# n phi cont lla lc4 lc4_b
6.000000000000000000e+00 1.700000000000000000e+01 6.262999999999999901e+00 5.354000000000000092e+00 3.379999999999999893e+00 3.656000000000000139e+00
6.200000000000000178e+00 1.700000000000000000e+01 6.262999999999999901e+00 5.631999999999999673e+00 4.472000000000000419e+00 4.762999999999999901e+00
6.400000000000000355e+00 1.700000000000000000e+01 6.262999999999999901e+00 5.876999999999999780e+00 4.871000000000000441e+00 5.165000000000000036e+00
6.600000000000000533e+00 1.700000000000000000e+01 6.262999999999999901e+00 6.092999999999999972e+00 5.224000000000000199e+00 5.519000000000000128e+00
6.800000000000000711e+00 1.700000000000000000e+01 6.262999999999999901e+00 6.184999999999999609e+00 5.392999999999999794e+00 5.689000000000000057e+00
7.000000000000000888e+00 1.700000000000000000e+01 6.262999999999999901e+00 6.192999999999999616e+00 5.418999999999999595e+00 5.714999999999999858e+00
7.200000000000001066e+00 1.700000000000000000e+01 6.262999999999999901e+00 6.200000000000000178e+00 5.439000000000000057e+00 5.735999999999999766e+00
7.400000000000001243e+00 1.700000000000000000e+01 6.262999999999999901e+00 6.208999999999999631e+00 5.451999999999999957e+00 5.748999999999999666e+00
7.600000000000001421e+00 1.700000000000000000e+01 6.262999999999999901e+00 6.219000000000000306e+00 5.455000000000000071e+00 5.751999999999999780e+00
7.800000000000001599e+00 1.700000000000000000e+01 6.262999999999999901e+00 6.232000000000000206e+00 5.442999999999999616e+00 5.740000000000000213e+00
8.000000000000001776e+00 1.700000000000000000e+01 6.262999999999999901e+00 6.238999999999999879e+00 5.405999999999999694e+00 5.703000000000000291e+00
8.200000000000002842e+00 1.700000000000000000e+01 6.262999999999999901e+00 6.254999999999999893e+00 5.355000000000000426e+00 5.652000000000000135e+00
8.400000000000002132e+00 1.700000000000000000e+01 6.262999999999999901e+00 6.272000000000000242e+00 5.277000000000000135e+00 5.573999999999999844e+00
8.600000000000001421e+00 1.700000000000000000e+01 6.262999999999999901e+00 6.290000000000000036e+00 5.166999999999999815e+00 5.464000000000000412e+00
8.800000000000002487e+00 1.700000000000000000e+01 6.262999999999999901e+00 6.309000000000000163e+00 5.019999999999999574e+00 5.315999999999999837e+00
9.000000000000003553e+00 1.700000000000000000e+01 6.262999999999999901e+00 6.328999999999999737e+00 4.825999999999999623e+00 5.121999999999999886e+00
9.200000000000002842e+00 1.700000000000000000e+01 6.262999999999999901e+00 6.349000000000000199e+00 4.578000000000000291e+00 4.873999999999999666e+00
9.400000000000002132e+00 1.700000000000000000e+01 6.262999999999999901e+00 6.368999999999999773e+00 4.267000000000000348e+00 4.562000000000000277e+00
9.600000000000003197e+00 1.700000000000000000e+01 6.262999999999999901e+00 6.386999999999999567e+00 3.888999999999999790e+00 4.182999999999999829e+00
9.800000000000004263e+00 1.700000000000000000e+01 6.262999999999999901e+00 6.402000000000000135e+00 3.443000000000000060e+00 3.733999999999999986e+00
1.000000000000000355e+01 1.700000000000000000e+01 6.262999999999999901e+00 6.410999999999999588e+00 2.927000000000000046e+00 3.212000000000000188e+00
1.020000000000000284e+01 1.700000000000000000e+01 6.262999999999999901e+00 6.411999999999999922e+00 2.337000000000000188e+00 2.623000000000000220e+00
1.040000000000000391e+01 1.700000000000000000e+01 6.262999999999999901e+00 6.405000000000000249e+00 1.677000000000000046e+00 1.969999999999999973e+00
1.060000000000000497e+01 1.700000000000000000e+01 6.262999999999999901e+00 6.389999999999999680e+00 9.919999999999999929e-01 1.286000000000000032e+00
1.080000000000000426e+01 1.700000000000000000e+01 6.262999999999999901e+00 6.368000000000000327e+00 3.200000000000000067e-01 6.149999999999999911e-01
1.100000000000000355e+01 1.700000000000000000e+01 6.262999999999999901e+00 6.341999999999999638e+00 -3.150000000000000022e-01 -2.100000000000000130e-02
1.120000000000000462e+01 1.700000000000000000e+01 6.262999999999999901e+00 6.310999999999999943e+00 -9.120000000000000329e-01 -6.179999999999999938e-01
1.140000000000000568e+01 1.700000000000000000e+01 6.262999999999999901e+00 6.275999999999999801e+00 -1.489999999999999991e+00 -1.195999999999999952e+00
1.160000000000000497e+01 1.700000000000000000e+01 6.262999999999999901e+00 6.235999999999999766e+00 -2.176000000000000156e+00 -1.881999999999999895e+00
1.180000000000000426e+01 1.700000000000000000e+01 6.262999999999999901e+00 6.190999999999999837e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000533e+01 1.700000000000000000e+01 6.262999999999999901e+00 6.142000000000000348e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 1.719999999999999929e+01 6.463000000000000078e+00 5.280999999999999694e+00 3.188000000000000167e+00 3.431000000000000050e+00
6.200000000000000178e+00 1.719999999999999929e+01 6.463000000000000078e+00 5.551000000000000156e+00 3.584999999999999964e+00 3.862000000000000099e+00
6.400000000000000355e+00 1.719999999999999929e+01 6.463000000000000078e+00 5.828999999999999737e+00 4.684999999999999609e+00 4.977000000000000313e+00
6.600000000000000533e+00 1.719999999999999929e+01 6.463000000000000078e+00 6.073000000000000398e+00 5.094000000000000306e+00 5.387999999999999901e+00
6.800000000000000711e+00 1.719999999999999929e+01 6.463000000000000078e+00 6.288999999999999702e+00 5.453000000000000291e+00 5.748000000000000220e+00
7.000000000000000888e+00 1.719999999999999929e+01 6.463000000000000078e+00 6.386000000000000121e+00 5.623000000000000220e+00 5.918999999999999595e+00
7.200000000000001066e+00 1.719999999999999929e+01 6.463000000000000078e+00 6.394000000000000128e+00 5.647000000000000242e+00 5.943999999999999950e+00
7.400000000000001243e+00 1.719999999999999929e+01 6.463000000000000078e+00 6.402000000000000135e+00 5.665000000000000036e+00 5.961999999999999744e+00
7.600000000000001421e+00 1.719999999999999929e+01 6.463000000000000078e+00 6.410999999999999588e+00 5.674999999999999822e+00 5.972000000000000419e+00
7.800000000000001599e+00 1.719999999999999929e+01 6.463000000000000078e+00 6.421999999999999709e+00 5.674999999999999822e+00 5.972000000000000419e+00
8.000000000000001776e+00 1.719999999999999929e+01 6.463000000000000078e+00 6.426000000000000156e+00 5.652000000000000135e+00 5.948999999999999844e+00
8.200000000000002842e+00 1.719999999999999929e+01 6.463000000000000078e+00 6.440999999999999837e+00 5.620000000000000107e+00 5.916999999999999815e+00
8.400000000000002132e+00 1.719999999999999929e+01 6.463000000000000078e+00 6.456999999999999851e+00 5.565000000000000391e+00 5.862000000000000099e+00
